,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,,"('توفي', 'وفاة')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
1,20140407_2822.txt,,"('انفجار', 'يقتل', 'انفجار', 'يودي بحياة')","('مدنيا', 'مدنيا')",,
2,20150913_8528.txt,,"('مقتل', 'غارة جوية', 'مصرعهم', 'غارة جوية')","('مسلحين', 'مسلحين')",,
3,20140322_2227.txt,,"('الهجوم الإرهابي', 'الهجوم', 'استهدف')","('فندق', 'فندقاً')","('كابول',)",
4,20140923_7897.txt,"('قوات الامن الافغانية',)","('مقتل', 'قتل', 'اصيب')","('مسلحا', 'مسلحا')",,
5,20181020_999.txt,,"('انفجارات', 'انفجارات', 'انفجارات')","('مراكز التصويت',)","('كابول', 'كابول')",
6,20150518_4671.txt,"('طالبان', 'طالبان')","('تهاجم', 'هجوم')","('نقاط تفتيش', 'نقاط تفتيش')",,
7,20150701_6053.txt,,"('قتيل', 'جريح', 'هجوم')","('ناتو',)","('كابول', 'كابول')",
8,20140926_8160.txt,"('طالبان', 'طالبان')","('مقتل', 'هجمات', 'اجتاح')",,"('كابول',)",
9,20170114_739.txt,"('داعش', 'داعش')","('يحرق', 'أحرق')","('منزلا', 'منزلا')",,
10,20180411_4597.txt,"('طالبان',)","('دمرت',)","('تماثيل بوذا',)",,
11,20140805_6137.txt,,"('مقتل', 'اصابة', 'قتل')","('جنرال اميركي', 'جنرال اميركي')","('كابول',)",
12,20170421_7322.txt,"('طالبان',)","('مقتل', 'هجوم', 'قتل')","('جنود', 'جنود')",,
13,20150514_4532.txt,,"('إنهاء حصار', 'مقتل', 'الهجوم')","('دار الضيافة', 'مواطن أمريكي')","('كابول',)",
14,20181104_1574.txt,,"('مقتل', 'هجوم', 'قُتل')","('جندي أمريكي',)","('كابول', 'كابول')",
15,20170319_3491.txt,"('جندي أفغاني',)","('إصابة', 'أصيبوا')","('جنود أمريكيين', 'جنود أمريكيين')",,"('هلمند',)"
16,20140223_1340.txt,,"('مقتل', 'هجوم', 'قتل', 'هجوم')","('جندياً أفغانياً', 'جندياً أفغانياً')",,
17,20151028_10537.txt,"('القوات الأمنية الأفغانية',)","('مقتل', 'عملية عسكرية', 'تصفية')","('مسلحا', 'مسلحا')",,
18,20140808_6226.txt,"('طالبان',)","('مقتل', 'اشتباكات', 'مصرع')","('رجال الشرطة', 'رجال الشرطة')",,
19,20170308_3013.txt,,"('الهجوم ""الإرهابي""', 'الهجوم ""الإرهابي""', 'استهدف')","('مستشفى عسكري', 'مستشفى عسكري')","('كابول',)",
20,20180129_1687.txt,"('داعش', 'داعش')","('هجوما',)","('قاعدة عسكرية',)","('كابول', 'كابول')",
21,20150730_6972.txt,"('طالبان', 'طالبان')","('وفاة', 'توفى')","('الملا عمر', 'الملا عمر')",,
22,20170521_6199.txt,"('طالبان',)","('مقتل', 'هجوم')","('شرطيًا أفغانيًا', 'شرطيًّا')",,"('زابل',)"
23,20170222_2425.txt,,"('مقتل', 'جرح', 'مقتل', 'جرح')","('داعش', 'داعش')",,
24,20150226_2150.txt,"('طالبان', 'طالبان')","('انفجار', 'يستهدف')","('أمريكيين',)","('كابول',)",
25,20180321_4003.txt,,"('الهجوم الإرهابي', 'التفجير الإرهابي')","('جامعة كابول', 'جامعة كابول')",,
26,20141213_11149.txt,"('طالبان', 'طالبان')","('يقتلون', 'قتلت')","('عمال إزالة الألغام', 'عمال إزالة الألغام')",,
27,20140329_2363.txt,"('مسلحون', 'مسلحين')","('يهاجمون',)","('مقر اللجنة الانتخابية',)","('كابول', 'كابول')",
28,20170207_1797.txt,,"('قتيلا', 'هجوم انتحاري', 'اعتداء انتحاري')","('المحكمة العليا',)","('كابول', 'كابول')",
29,20150809_7498.txt,"('طالبان', 'طالبان')","('تشنق', 'شنق')","('امرأة', 'امرأة')",,
30,20150629_5867.txt,"('طالبان', 'طالبان', 'طالبان')","('مقتل', 'مقتل', 'قتل')",,,
