,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,,"('توفي', 'وفاة')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
1,20140407_2822.txt,"('طالبان', 'طالبان', 'طالبان')","('انفجار', 'قتل', 'انفجار', 'يودي بحياة', 'قتل', 'انفجار', 'ضحايا', 'انفجار', 'أصيب', 'انفجار', 'هددت', 'قتل', 'انفجار')","('مدنيا', 'مدنيا', 'مدنيا', 'النساء', 'الأطفال')",,"('قندهار',)"
2,20150913_8528.txt,"('طائرات امريكية', 'طائرات امريكية')","('قتل', 'غارة جوية', 'مصرعهم', 'غارة جوية', 'قتل', 'غارة جوية')","('مسلحين', 'مسلحين', 'مسلحين')","('لال بور',)","('نانغارهار', 'نانغارهار', 'نانغارهار')"
3,20140322_2227.txt,,"('هجوم الإرهابي', 'هجوم', 'استهدف', 'ضحيت', 'هجمات')","('فندق', 'فندق', 'ضحيته', 'مدنيين', 'نساء', 'أطفا', 'أجانب')","('العاصمة الأفغانية', 'كابول')",
4,20140923_7897.txt,"('قوات الامن الافغانية', 'قوات الشرطة', 'قوات الجيش', 'المخابرات الوطنية', 'قوات الامن الافغانية', 'قوات الشرطة')","('قتل', 'قتل', 'اصيب', 'قتل', 'اصيب', 'القبض', 'صادرت')","('مسلحا', 'مسلحا', 'طالبان', 'الاسلحة', 'طالبان')",,
5,20181020_999.txt,"('طالبان',)","('انفجارات', 'انفجارات', 'انفجارات', 'انفجارات', 'دعت', 'حذرت', 'هجمات')","('مراكز التصويت', 'عدم المشاركة', 'مراكز الانتخابات')","('كابول', 'كابول', 'كابول', 'كابول')",
6,20150518_4671.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان')","('هاجم', 'هجوم', 'معركة', 'هجوم', 'قتل', 'اطلاق نار')","('نقاط تفتيش', 'نقاط تفتيش', 'نقاط التفتيش')",,"('اوروزجان', 'بادغيس')"
7,20150701_6053.txt,,"('قتيل', 'جريح', 'هجوم', 'قتل', 'إصابة', 'هجوم انتحاري', 'استهدف', 'فجر', 'انتحاري', 'ضحايا', 'هجوم', 'هجوم', 'هجوم')","('ناتو', 'قوات حلف شمال الأطلسي', 'ناتو', 'ناتو', 'المدنيين')","('كابول', 'كابول', 'كابول', 'كابول')",
8,20140926_8160.txt,"('طالبان', 'طالبان')","('مقتل', 'هجمات', 'اجتاح', 'قتل')",,,
9,20170114_739.txt,"('داعش', 'داعش', 'داعش', 'داعش', 'داعش')","('يحرق', 'أحرق', 'إحراق', 'حرق', 'هجر', 'اقتحم', 'أحرق', 'أحرق')","('منزل', 'منزل', 'المنازل', 'منزل', 'المنازل', 'بادا جوندا', 'بار سيباي', 'المنازل', 'المنازل')","('منطقة كوت', 'بادا جوندا', 'بار سيباي', 'منطقة كوت')","('ولاية ننغارهار',)"
10,20180411_4597.txt,"('طالبان',)","('دمرت',)","('تماثيل بوذا',)",,
11,20140805_6137.txt,"('الجيش الافغاني', 'ايساف')","('قتل', 'اصابة', 'قتل', 'اصاب', 'جروح', 'قتل', 'هجوم', 'قتيل', 'قتل', 'اطلق النيران', 'قتل', 'اصيب', 'جروح', 'اصاب', 'مطلق النار', 'قتل', 'هجوم', 'فتح النار', 'قتل', 'اصيب', 'جروح', 'قتيل', 'جرح', 'هجوم', 'اطلاق النار', 'قتل', 'وزارة الدفاع الافغانية', 'فتح النار', 'جرح', 'هجوم', 'قتل', 'قتل', 'قتل', 'غارة جوية', 'اطلاق صواريخ', 'غارات', 'قتل')","('جنرال اميركي', 'جنرال اميركي', 'الجنود الافغان', 'حلف شمال الاطلسي', 'جنرال اميركي', 'مجمع عسكري', 'المعتدي', 'ضابط اجنبي', 'الجيش الافغاني', 'ضابط اجنبي', 'الضباط الافغان', 'ضابط اميركي', 'جنرالا المانيا', 'اكاديمية ضباط الجيش الافغاني الوطني', 'حلف شمال الاطلسي', 'ايساف', 'ضباط الجيش الافغاني', 'المعتدي', 'جنديين اميركيين', 'مدنيين', 'قاعدة شينداد الجوية', 'رجل وامراة وطفل وفتى', 'مدنيين')","('كابول', 'كابول', 'كابول')","('ولاية كابيسا', 'ولاية هرات')"
12,20170421_7322.txt,"('طالبان', 'طالبان', 'مسلحون', 'مسلحا', 'الجيش', 'طالبان')","('قتل', 'هجوم', 'قتل', 'أصيب', 'جروح', 'هجوم', 'هجوم', 'يقاوم', 'قتل', 'جريح', 'مهاجمين', 'قتل', 'اعتقال', 'اطلاق النار', 'مهاجمين', 'ضحايا', 'هجوم', 'مجاهد', 'هجوم', 'قتل', 'هجوم', 'هجوم', 'استهدف', 'قتيلا')","('جنود', 'جنود', 'آخرون', 'قاعدتهم', 'العسكريين', 'العسكريين', 'آخر', 'قوات الجيش', 'جنود', 'مستشفى عسكريا')","('مزار الشريف', 'مزار الشريف', 'كابول')","('ولاية بلخ',)"
13,20150514_4532.txt,"('قوات الأمن', 'المسلحين', 'مسلحين', 'قوات الأمن')","('إنهاء حصار', 'قتل', 'هجوم', 'انتهى حصار', 'قُتل', 'هجوم', 'قتل', 'معركة', 'قتل', 'قتل', 'إنهاء حصار', 'قتل', 'مهاجمين', 'أنقذت', 'مهاجمين', 'قتل', 'معركة', 'قتل', 'مهاجمون', 'ضحايا', 'قتل', 'هجوم', 'اقتحم', 'احتجزوا', 'اقتحم', 'هجوم')","('دار الضيافة', 'مواطن أمريكي', 'دار الضيافة', 'مواطن أمريكي', 'دار الضيافة', 'بارك بالاس هوتيل')","('كابول', 'كابول', 'كابول', 'كابول', 'العاصمة الأفغانية', 'حي كولولا بوشتا')",
14,20181104_1574.txt,"('حركة طالبان', 'الجنرال الأمريكي سكوت ميلر', 'عسكريين أفغان', 'طالبان', 'طالبان', 'قوة الدعم الحازم')","('قتل', 'هجوم', 'قُتل', 'أصيب', 'هجوم', 'هجوم', 'يستهدف', 'يستهدف', 'هجوم', 'قتل', 'هجوم', 'نجا', 'المهاجم', 'المهاجم', 'قُتل', 'ف', 'هجوم', 'قتل', 'الجريح', 'نقل جوًّا', 'هجوم', 'هجوم', 'هجوم', 'مقتل', 'نجا', 'أصيب', 'هجوم', 'هجوم', 'قُتل', 'أصيب', 'جروح', 'هجوم', 'هجوم', 'قلّصت')","('جندي أمريكي', 'جندي أمريكي', 'آخر', 'القوات الدوليّة', 'القوّات الأجنبية', 'الجنرال عبدالرازق', 'الجيش الأمريكي', 'قاعدة باغرام', 'مركز شديد التحصين', 'أشخاص', 'الجنرال عبدالرازق', 'شخصًا', 'الجنرال الأمريكي جيفري سمايلي', 'جندي تشيكي', 'آخر', 'التواصل المباشر مع الجنود الأفغان')","('كابول', 'كابول')","('ولاية قندهار', 'ولاية هرات', 'قندهار', 'قندهار', 'قندهار', 'ولاية قندهار', 'قندهار', 'ولاية هرات', 'هرات')"
15,20170319_3491.txt,"('جندي أفغاني', 'جندي أفغاني')","('إصابة', 'أصيبوا')","('جنود أمريكيين', 'جنود أمريكيين')",,"('اقليم هلمند', 'إقليم هلمند')"
16,20140223_1340.txt,"('طالبان',)","('قتل', 'هجوم', 'قتل', 'هجوم', 'هجوم', 'قتل', 'هجوم', 'قتل', 'هجوم')","('جندياً أفغانياً', 'جندياً أفغانياً', 'مسلحين')","('مقاطعة غازي أباد',)","('ولاية كونار',)"
17,20151028_10537.txt,"('القوات الأمنية الأفغانية', 'طالبان', 'طالبان', 'طالبان')","('قتل', 'عملية عسكرية', 'تصفية', 'عملية عسكرية', 'قتل', 'سيطر', 'معركة', 'هاجموا', 'سيطر', 'قتل', 'الاشتباكات')","('مسلحا', 'مسلحا', 'طالبان', 'رهينة', 'ر', 'دارقند/', 'القوات الأفغانية', 'شرطيا')","('دارقند',)","('نانجرهار', 'تخار')"
18,20140808_6226.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان')","('قتل', 'ل', 'اشتباكات', 'مصرع', 'طلاق نار', 'الهجوم', 'استهدف', 'اشتباكات', 'الهجوم')","('رجال الشرطة', 'رجال الشرطة', 'نقطة تفتيش', 'نقطة تفتيش', 'الشرطة')","('سانجين',)","('هلمند',)"
19,20170308_3013.txt,"('داعش',)","('الهجوم ""الإرهابي""', 'الهجوم', 'استهدف', 'القتلى', 'الجرحى', 'الهجوم', 'استهدف', 'الجرحى', 'لجرحى', 'مقتل', 'اصابة', 'جروح', 'هجوم انتحاري')","('مستشفى عسكري', 'مستشفى عسكري', 'مرضى', 'أطباء', 'عاملين', 'مرضى', 'مستشفى عسكري')","('كابول', 'العاصمة الأفغانية', 'كابول', 'كابول')",
20,20180129_1687.txt,"('داعش', 'داعش', 'داعش', 'داعش', 'مسلحين', 'مسلحين', 'القوات الخاصة الأفغانية', 'داعش')","('هجوما', 'هجوم', 'هجوم', 'يستهدف', 'هاجموا', 'قتلوا', 'أصابوا', 'هجوما', 'هجوم', 'إطلاق صواريخ', 'هجوم', 'استهدف', 'انفجار', 'مهاجمين', 'جرح', 'ل', 'تطوق المهاجمين', 'استهدف')","('قاعدة عسكرية', 'أكاديمية مارشال فهيم العسكرية', 'الأكاديمية العسكرية', 'الأكاديميات العسكرية', 'جنديا', 'آخرين', 'أكاديمية مارشال فهيم العسكرية', 'الاعتداء', 'فندق', 'جنود', 'قاعدة مارشال فهيم')","('كابول', 'كابول', 'العاصمة الأفغانية', 'كابول', 'مدينة كابل', 'كابول', 'كابول')",
21,20150730_6972.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان', 'الملا عمر', 'طالبان', 'طالبان', 'طالبان', 'طالبان')","('وفاة', 'توفى', 'توفى', 'توفى')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
22,20170521_6199.txt,"('طالبان', 'طالبان')","('قتل', 'هجوم', 'مصرع', 'هجمات', 'هجمات', 'هجمات', 'استهدفت')","('شرطيًا أفغانيًا', 'شرطيًّا', 'حواجز للشرطة')","('شاه جوي',)","('ولاية زابل', 'ولاية زابل')"
23,20170222_2425.txt,"('قوات الأمن الوطنية الأفغانية',)","('قتل', 'جرح', 'قتل', 'جرح', 'عمليات برية وجوية', 'قتل', 'قضاء')","('داعش', 'داعش', 'داعش', 'داعش')",,"('ولاية ""ننجرهار""',)"
24,20150226_2150.txt,"('طالبان', 'طالبان')","('انفجار', 'يستهدف', 'التفجير')","('أمريكيين',)","('كابول',)",
25,20180321_4003.txt,,"('الهجوم الإرهابي', 'التفجير الإرهابي', 'مقتل', 'إصابة')","('جامعة كابول', 'جامعة كابول', 'شخصاً', 'آخرين')",,
26,20141213_11149.txt,"('طالبان', 'طالبان', 'قوات أفغانية')","('يقتلون', 'قتلت', 'المهاجمين', 'هجوما مضادا', 'مقتل', 'اعتقال')","('عمال إزالة الألغام', 'عمال إزالة الألغام', 'كامب باستيون', 'مسلحين')",,"('إقليم هلمند',)"
27,20140329_2363.txt,"('مسلحون', 'مسلحين', 'مسلحين', 'طالبان', 'مسلحين')","('يهاجمون', 'هاجموا', 'تشتبك', 'انفجارا', 'اطلاق نار', 'هجوم', 'انفجرت', 'اقتحام')","('اللجنة الانتخابية', 'اللجنة الانتخابية', 'قوات الامن')","('كابول', 'كابول', 'كابول')",
28,20170207_1797.txt,"('الانتحاري', 'الشرطة', 'الشرطة', 'طالبان')","('قتيل', 'هجوم انتحاري', 'قتل', 'جرح', 'اعتداء انتحاري', 'استهدف', 'اعتداء', 'قتيل', 'جريحا', 'فجر', 'التفجير', 'ضحايا', 'جرح', 'الانفجار', 'قتل', 'الانفجار', 'الانفجار', 'اغلقت', 'اعتداء', 'اغلقت', 'اعتداء', 'استهدف', 'قتيل', 'جريحا', 'استهدف', 'اعتداء', 'قتيل', 'جريحا', 'فجر', 'هددت', 'ضحايا', 'قتل', 'جرح', 'ضحايا', 'ضحايا', 'قتيل', 'جريحا', 'جرح', 'قتل', 'جرح')","('المحكمة العليا', 'المحكمة العليا', 'المحكمة العليا', 'الطرق', 'الطريق', 'برلمان', 'المحكمة العليا', 'المحكمة العليا')","('كابول', 'كابول', 'كابول', 'كابول', 'كابول')",
29,20150809_7498.txt,"('طالبان', 'طالبان')","('تشنق', 'شنق')","('امرأة', 'امرأة')",,"('ولاية بدخشان',)"
30,20150629_5867.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان', 'طالبان')","('قتل', 'قتل', 'قتل', 'فروا', 'الهجوم')",,"('كرخ',)","('ولاية /هيرات',)"
31,20180422_4965.txt,"('تنظيم داعش',)","('الهجوم الإرهابي', 'الهجوم', 'شنه', 'استهدف', 'وفاة', 'إصابة')","('مركز لتسجيل الناخبين', 'مركزا لتسجيل الناخبين', 'شخصاً', 'آخرين')",,"('كابول', 'العاصمة الأفغانية', 'كابول')"
32,20150705_6195.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان')","('هجوم', 'يستهدف', 'قتل', 'هجوم', 'اصيب', 'جروح')","('القوات الامنية الافغانية', 'الحكومة المركزية', 'مدني', 'جندي')",,
33,20151010_9734.txt,"('قوات الأفغانية', 'الناتو', 'الشرطة', 'طيران حلف شمال الأطلسي', 'ناتو')","('قتل', 'إصابة', 'قتل', 'إصابة')","('طالبان', 'مسلح')","('قندهار', 'مدينة قندهار', 'قندهار')",
34,20120609_3124.txt,"('طالبان', 'طالبان')","('قتل', 'اصابة', 'هجوم', 'قتل', 'أصيب', 'هجوم', 'هجوم', 'اطلاق نار', 'هجوم', 'الجرحى', 'قتل')","('جنود فرنسيين', 'جنود فرنسيين', 'الجنود الفرنسيين', 'الجنود الفرنسيين')",,"('اقليم كابيسا', 'اقليم كابيسا')"
35,20150720_6606.txt,"('أميركية', 'حلف شمال الاطلسي', 'مروحيتين اميركيتين', 'ايساف', 'لحلف الاطلسي')","('تودي بحياة', 'قتل', 'ضربة', 'ضربة', 'هاجمتا', 'النيران اندلعت', 'دمر', 'قتل', 'الضربة الجوية', 'الهجوم', 'قتل', 'اصيب', 'اطلقته')","('جنديا أفغاني', 'جنديا أفغاني', 'معسكر للجيش', 'جيش الافغاني', 'جنديا افغانيا', 'جيش الافغاني', 'جنود أفغان', 'جيش الافغاني')","('منطقة بركي برك',)","('اقليم لوغار', 'ولاية لوغار')"
36,20180124_1221.txt,"('مسلحين',)","('هجوم', 'هجوم', 'استهدف', 'القتلى', 'الجرحى', 'اصابة', 'اقتحام')","('منظمة حقوقية دولية', 'شخصا', 'مكتب منظمة انقاذ الطفولة')","('جلال اباد', 'جلال اباد', 'جلال اباد')","('قاطعة نانجارهار',)"
37,20150703_6119.txt,"('القوات الباكستانية',)","('قصف', 'قصف')",,,"('إقليم /بكتيكا',)"
38,20170308_2947.txt,"('القوات الخاصة للشرطة', 'قوات الأمن', 'تنظيم الدولة الإرهابي', 'المسلحين')","('مصرع', 'إصابة', 'هجوم', 'قتل', 'أصيب', 'جروح', 'هجوم', 'يردون على الهجوم', 'استهدف', 'الاشتباكات', 'المهاجمين', 'قتل', 'إصابة', 'جروح', 'هجوم', 'إصابة', 'هجوم', 'المهاجمين', 'فجر', 'المهاجمون', 'إطلاق النار', 'مصرع', 'إصابة', 'هجوم')","('مستشفى عسكري', 'مستشفى عسكري', 'مستشفى عسكري', 'مستشفى ""سردار محمد داود خان العسكري', 'المستشفى', 'مستشفى عسكري')","('وزير أكبر خان', 'العاصمة الأفغانية كابول', 'كابل')",
39,20140810_6334.txt,,"('مصرع', 'هجوم انتحاري', 'مصرع', 'أصيب', 'جروح', 'هجوم انتحاري', 'قتل', 'أصيب', 'تفجير', 'أصيب', 'الهجوم', 'الهجوم', 'الهجوم')","('مدنيين', 'حلف الناتو', 'مدنيين', 'ايساف', 'مدنيين', 'ايساف', 'حلف شمال الأطلسي', 'ايساف')","('كابول',)",
40,20181007_317.txt,"('مسلحي حركة طالبان', 'المسلحين', 'مسلحي طالبان', 'قوات أمن الولاية', 'المسلحين')","('مقتل', 'مقتل', 'اشتباكات', 'أطلقوا', 'قتلوا', 'قتلهم', 'الهجوم', 'دمروا', 'منعوا الدخول', 'هجوم', 'ردع', 'سيطروا', 'قتلوا', 'استولوا', 'مقتل')","('عناصر الشرطة', 'رجال الشرطة', 'مبنى حكومي', 'مدير شرطة المنطقة', 'رجال شرطة', 'رجال الشرطة', 'المساكن', 'نقاط التفتيش', 'الأحياء المحلية', 'المسلحين', 'منطقة سيد آباد', 'نقاط التفتيش', 'قوات الأمن', 'الأسلحة والذخيرة والمركبات', 'عناصر الشرطة')","('منطقة سيد آباد', 'منطقة سيد آباد')","('ولاية وردك',)"
41,20140506_3457.txt,"('القوات الأفغانية', 'السلطات الأمنية الافغانية', 'قوات الأمن الوطنى')","('قتل', 'قتل', 'مصرع', 'اصيبوا')","('طالبان', 'طالبان', 'طالبان', 'مسلحا', 'طالبان')",,"('مقاطعة غزنى',)"
42,20150716_6550.txt,"('مسلحوها',)","('قتل', 'غارة جوية', 'غارة جوية', 'قتل', 'الغارة', 'استهدفت', 'قتل', 'هجوم')","('مسلحين', 'حقاني', 'حقاني', 'شرطة الأفغانية')",,"('ميدان ورداك', 'ميدان ورداك')"
43,20150419_3815.txt,"('داعش', 'القاعدة', 'طالبان', 'داعش', 'طالبان', 'القاعدة', 'عناصر مسلحة', 'القاعدة', 'طالبان')","('الاعتداء الانتحاري', 'قتيلا', 'مبايعة')",,,
